Activity,Year,Locality,Frequency,Percentage
Trivia games ,2012,Local,Weekly Participation (multiple),0.98
Trivia games ,2012,Local,Weekly Participation (once),0.40
Trivia games ,2012,Local,Monthly Participation (multiple),0.63
Trivia games ,2012,Local,Monthly Participation (once),0.48
Trivia games ,2013,Local,Participated in the last 12 months,5.11
Trivia games ,2013,Local,Weekly Participation (multiple),0.89
Trivia games ,2013,Local,Weekly Participation (once),0.53
Trivia games ,2013,Local,Monthly Participation (multiple),0.77
Trivia games ,2013,Local,Monthly Participation (once),0.44
Trivia games ,2014,Local,Participated in the last 12 months,4.93
Trivia games ,2014,Local,Weekly Participation (multiple),0.99
Trivia games ,2014,Local,Weekly Participation (once),0.47
Trivia games ,2014,Local,Monthly Participation (multiple),0.43
Trivia games ,2014,Local,Monthly Participation (once),0.54
Trivia games ,2015,Local,Participated in the last 12 months,5.99
Trivia games ,2015,Local,Weekly Participation (multiple),1.57
Trivia games ,2015,Local,Weekly Participation (once),0.69
Trivia games ,2015,Local,Monthly Participation (multiple),0.58
Trivia games ,2015,Local,Monthly Participation (once),0.58
Trivia games ,2016,Local,Participated in the last 12 months,6.77
Trivia games ,2016,Local,Weekly Participation (multiple),1.58
Trivia games ,2016,Local,Weekly Participation (once),0.87
Trivia games ,2016,Local,Monthly Participation (multiple),0.71
Trivia games ,2016,Local,Monthly Participation (once),0.57
Trivia games ,2017,Local,Participated in the last 12 months,6.40
Trivia games ,2017,Local,Weekly Participation (multiple),1.41
Trivia games ,2017,Local,Weekly Participation (once),0.58
Trivia games ,2017,Local,Monthly Participation (multiple),0.68
Trivia games ,2017,Local,Monthly Participation (once),0.62
Trivia games ,2018,Local,Participated in the last 12 months,6.06
Trivia games ,2018,Local,Weekly Participation (multiple),1.49
Trivia games ,2018,Local,Weekly Participation (once),0.64
Trivia games ,2018,Local,Monthly Participation (multiple),0.55
Trivia games ,2018,Local,Monthly Participation (once),0.63
Video/electronic games (console),2010,Local,Participated in the last 12 months,
Video/electronic games (console),2010,Local,Weekly Participation (multiple),
Video/electronic games (console),2010,Local,Weekly Participation (once),
Video/electronic games (console),2010,Local,Monthly Participation (multiple),
Video/electronic games (console),2010,Local,Monthly Participation (once),
Video/electronic games (console),2011,Local,Participated in the last 12 months,
Video/electronic games (console),2011,Local,Weekly Participation (multiple),
Video/electronic games (console),2011,Local,Weekly Participation (once),
Video/electronic games (console),2011,Local,Monthly Participation (multiple),
Video/electronic games (console),2011,Local,Monthly Participation (once),
Video/electronic games (console),2012,Local,Participated in the last 12 months,10.79
Video/electronic games (console),2012,Local,Weekly Participation (multiple),3.84
Video/electronic games (console),2012,Local,Weekly Participation (once),1.24
Video/electronic games (console),2012,Local,Monthly Participation (multiple),1.29
Video/electronic games (console),2012,Local,Monthly Participation (once),0.82
Video/electronic games (console),2013,Local,Participated in the last 12 months,10.36
Video/electronic games (console),2013,Local,Weekly Participation (multiple),3.99
Video/electronic games (console),2013,Local,Weekly Participation (once),1.23
Video/electronic games (console),2013,Local,Monthly Participation (multiple),1.18
Video/electronic games (console),2013,Local,Monthly Participation (once),0.70
Video/electronic games (console),2014,Local,Participated in the last 12 months,10.03
Video/electronic games (console),2014,Local,Weekly Participation (multiple),3.92
Video/electronic games (console),2014,Local,Weekly Participation (once),1.20
Video/electronic games (console),2014,Local,Monthly Participation (multiple),1.02
Video/electronic games (console),2014,Local,Monthly Participation (once),0.65
Video/electronic games (console),2015,Local,Participated in the last 12 months,9.93
Video/electronic games (console),2015,Local,Weekly Participation (multiple),3.91
Video/electronic games (console),2015,Local,Weekly Participation (once),1.12
Video/electronic games (console),2015,Local,Monthly Participation (multiple),1.08
Video/electronic games (console),2015,Local,Monthly Participation (once),0.74
Video/electronic games (console),2016,Local,Participated in the last 12 months,8.86
Video/electronic games (console),2016,Local,Weekly Participation (multiple),3.65
Video/electronic games (console),2016,Local,Weekly Participation (once),0.95
Video/electronic games (console),2016,Local,Monthly Participation (multiple),0.97
Video/electronic games (console),2016,Local,Monthly Participation (once),0.78
Video/electronic games (console),2017,Local,Participated in the last 12 months,8.52
Video/electronic games (console),2017,Local,Weekly Participation (multiple),3.11
Video/electronic games (console),2017,Local,Weekly Participation (once),0.76
Video/electronic games (console),2017,Local,Monthly Participation (multiple),1.02
Video/electronic games (console),2017,Local,Monthly Participation (once),0.70
Video/electronic games (console),2018,Local,Participated in the last 12 months,8.90
Video/electronic games (console),2018,Local,Weekly Participation (multiple),3.91
Video/electronic games (console),2018,Local,Weekly Participation (once),0.85
Video/electronic games (console),2018,Local,Monthly Participation (multiple),0.83
Video/electronic games (console),2018,Local,Monthly Participation (once),0.38
Video/electronic games (portable),2010,Local,Participated in the last 12 months,
Video/electronic games (portable),2010,Local,Weekly Participation (multiple),
Video/electronic games (portable),2010,Local,Weekly Participation (once),
Video/electronic games (portable),2010,Local,Monthly Participation (multiple),
Video/electronic games (portable),2010,Local,Monthly Participation (once),
Video/electronic games (portable),2011,Local,Participated in the last 12 months,
Video/electronic games (portable),2011,Local,Weekly Participation (multiple),
Video/electronic games (portable),2011,Local,Weekly Participation (once),
Video/electronic games (portable),2011,Local,Monthly Participation (multiple),
Video/electronic games (portable),2011,Local,Monthly Participation (once),
Video/electronic games (portable),2012,Local,Participated in the last 12 months,4.44
Video/electronic games (portable),2012,Local,Weekly Participation (multiple),1.60
Video/electronic games (portable),2012,Local,Weekly Participation (once),0.38
Video/electronic games (portable),2012,Local,Monthly Participation (multiple),0.42
Video/electronic games (portable),2012,Local,Monthly Participation (once),0.25
Video/electronic games (portable),2013,Local,Participated in the last 12 months,4.45
Video/electronic games (portable),2013,Local,Weekly Participation (multiple),2.08
Video/electronic games (portable),2013,Local,Weekly Participation (once),0.41
Video/electronic games (portable),2013,Local,Monthly Participation (multiple),0.29
Video/electronic games (portable),2013,Local,Monthly Participation (once),0.24
Video/electronic games (portable),2014,Local,Participated in the last 12 months,4.56
Video/electronic games (portable),2014,Local,Weekly Participation (multiple),2.00
Video/electronic games (portable),2014,Local,Weekly Participation (once),0.28
Video/electronic games (portable),2014,Local,Monthly Participation (multiple),0.36
Video/electronic games (portable),2014,Local,Monthly Participation (once),0.20
Video/electronic games (portable),2015,Local,Participated in the last 12 months,4.67
Video/electronic games (portable),2015,Local,Weekly Participation (multiple),2.05
Video/electronic games (portable),2015,Local,Weekly Participation (once),0.45
Video/electronic games (portable),2015,Local,Monthly Participation (multiple),0.28
Video/electronic games (portable),2015,Local,Monthly Participation (once),0.20
Video/electronic games (portable),2016,Local,Participated in the last 12 months,5.23
Video/electronic games (portable),2016,Local,Weekly Participation (multiple),2.31
Video/electronic games (portable),2016,Local,Weekly Participation (once),0.57
Video/electronic games (portable),2016,Local,Monthly Participation (multiple),0.32
Video/electronic games (portable),2016,Local,Monthly Participation (once),0.36
Video/electronic games (portable),2017,Local,Participated in the last 12 months,4.36
Video/electronic games (portable),2017,Local,Weekly Participation (multiple),1.86
Video/electronic games (portable),2017,Local,Weekly Participation (once),0.23
Video/electronic games (portable),2017,Local,Monthly Participation (multiple),0.30
Video/electronic games (portable),2017,Local,Monthly Participation (once),0.19
Video/electronic games (portable),2018,Local,Participated in the last 12 months,4.21
Video/electronic games (portable),2018,Local,Weekly Participation (multiple),2.00
Video/electronic games (portable),2018,Local,Weekly Participation (once),0.25
Video/electronic games (portable),2018,Local,Monthly Participation (multiple),0.29
Video/electronic games (portable),2018,Local,Monthly Participation (once),0.22
Woodworking ,2010,Local,Participated in the last 12 months,4.47
Woodworking ,2010,Local,Weekly Participation (multiple),0.75
Woodworking ,2010,Local,Weekly Participation (once),0.42
Woodworking ,2010,Local,Monthly Participation (multiple),0.71
Woodworking ,2010,Local,Monthly Participation (once),0.63
Woodworking ,2011,Local,Participated in the last 12 months,4.34
Woodworking ,2011,Local,Weekly Participation (multiple),0.72
Woodworking ,2011,Local,Weekly Participation (once),0.34
Woodworking ,2011,Local,Monthly Participation (multiple),0.51
Woodworking ,2011,Local,Monthly Participation (once),0.55
Woodworking ,2012,Local,Participated in the last 12 months,4.19
Woodworking ,2012,Local,Weekly Participation (multiple),0.62
Woodworking ,2012,Local,Weekly Participation (once),0.47
Woodworking ,2012,Local,Monthly Participation (multiple),0.40
Woodworking ,2012,Local,Monthly Participation (once),0.46
Woodworking ,2013,Local,Participated in the last 12 months,4.60
Woodworking ,2013,Local,Weekly Participation (multiple),0.88
Woodworking ,2013,Local,Weekly Participation (once),0.45
Woodworking ,2013,Local,Monthly Participation (multiple),0.56
Woodworking ,2013,Local,Monthly Participation (once),0.39
Woodworking ,2014,Local,Participated in the last 12 months,3.93
Woodworking ,2014,Local,Weekly Participation (multiple),0.58
Woodworking ,2014,Local,Weekly Participation (once),0.36
Woodworking ,2014,Local,Monthly Participation (multiple),0.49
Woodworking ,2014,Local,Monthly Participation (once),0.49
Woodworking ,2015,Local,Participated in the last 12 months,4.48
Woodworking ,2015,Local,Weekly Participation (multiple),0.77
Woodworking ,2015,Local,Weekly Participation (once),0.44
Woodworking ,2015,Local,Monthly Participation (multiple),0.42
Woodworking ,2015,Local,Monthly Participation (once),0.61
Woodworking ,2016,Local,Participated in the last 12 months,4.30
Woodworking ,2016,Local,Weekly Participation (multiple),0.61
Woodworking ,2016,Local,Weekly Participation (once),0.41
Woodworking ,2016,Local,Monthly Participation (multiple),0.39
Woodworking ,2016,Local,Monthly Participation (once),0.51
Woodworking ,2017,Local,Participated in the last 12 months,5.13
Woodworking ,2017,Local,Weekly Participation (multiple),0.74
Woodworking ,2017,Local,Weekly Participation (once),0.49
Woodworking ,2017,Local,Monthly Participation (multiple),0.59
Woodworking ,2017,Local,Monthly Participation (once),0.67
Woodworking ,2018,Local,Participated in the last 12 months,4.43
Woodworking ,2018,Local,Weekly Participation (multiple),0.70
Woodworking ,2018,Local,Weekly Participation (once),0.33
Woodworking ,2018,Local,Monthly Participation (multiple),0.61
Woodworking ,2018,Local,Monthly Participation (once),0.68
Word games ,2010,Local,Participated in the last 12 months,9.71
Word games ,2010,Local,Weekly Participation (multiple),3.41
Word games ,2010,Local,Weekly Participation (once),1.19
Word games ,2010,Local,Monthly Participation (multiple),1.23
Word games ,2010,Local,Monthly Participation (once),0.83
Word games ,2011,Local,Participated in the last 12 months,10.01
Word games ,2011,Local,Weekly Participation (multiple),4.04
Word games ,2011,Local,Weekly Participation (once),1.25
Word games ,2011,Local,Monthly Participation (multiple),1.19
Word games ,2011,Local,Monthly Participation (once),0.58
Word games ,2012,Local,Participated in the last 12 months,10.85
Word games ,2012,Local,Weekly Participation (multiple),4.77
Word games ,2012,Local,Weekly Participation (once),1.08
Word games ,2012,Local,Monthly Participation (multiple),1.07
Word games ,2012,Local,Monthly Participation (once),0.85
Word games ,2013,Local,Participated in the last 12 months,10.76
Word games ,2013,Local,Weekly Participation (multiple),4.46
Word games ,2013,Local,Weekly Participation (once),1.15
Word games ,2013,Local,Monthly Participation (multiple),1.15
Word games ,2013,Local,Monthly Participation (once),0.72
Word games ,2014,Local,Participated in the last 12 months,9.82
Word games ,2014,Local,Weekly Participation (multiple),4.06
Word games ,2014,Local,Weekly Participation (once),0.82
Word games ,2014,Local,Monthly Participation (multiple),1.07
Word games ,2014,Local,Monthly Participation (once),0.67
Word games ,2015,Local,Participated in the last 12 months,9.75
Word games ,2015,Local,Weekly Participation (multiple),4.39
Word games ,2015,Local,Weekly Participation (once),1.04
Word games ,2015,Local,Monthly Participation (multiple),0.67
Word games ,2015,Local,Monthly Participation (once),0.70
Word games ,2016,Local,Participated in the last 12 months,10.20
Word games ,2016,Local,Weekly Participation (multiple),4.02
Word games ,2016,Local,Weekly Participation (once),1.02
Word games ,2016,Local,Monthly Participation (multiple),1.04
Word games ,2016,Local,Monthly Participation (once),0.58
Word games ,2017,Local,Participated in the last 12 months,10.21
Word games ,2017,Local,Weekly Participation (multiple),4.19
Word games ,2017,Local,Weekly Participation (once),1.05
Word games ,2017,Local,Monthly Participation (multiple),0.93
Word games ,2017,Local,Monthly Participation (once),0.62
Word games ,2018,Local,Participated in the last 12 months,9.54
Word games ,2018,Local,Weekly Participation (multiple),4.41
Word games ,2018,Local,Weekly Participation (once),0.96
Word games ,2018,Local,Monthly Participation (multiple),0.74
Word games ,2018,Local,Monthly Participation (once),0.51
Zoo attendance ,2010,Remote,Participated in the last 12 months,12.34
Zoo attendance ,2010,Remote,Weekly Participation (multiple),0.08
Zoo attendance ,2010,Remote,Weekly Participation (once),0.10
Zoo attendance ,2010,Remote,Monthly Participation (multiple),0.28
Zoo attendance ,2010,Remote,Monthly Participation (once),0.93
Zoo attendance ,2011,Remote,Participated in the last 12 months,12.32
Zoo attendance ,2011,Remote,Weekly Participation (multiple),0.00
Zoo attendance ,2011,Remote,Weekly Participation (once),0.06
Zoo attendance ,2011,Remote,Monthly Participation (multiple),0.22
Zoo attendance ,2011,Remote,Monthly Participation (once),0.69
Zoo attendance ,2012,Remote,Participated in the last 12 months,11.65
Zoo attendance ,2012,Remote,Weekly Participation (multiple),0.07
Zoo attendance ,2012,Remote,Weekly Participation (once),0.10
Zoo attendance ,2012,Remote,Monthly Participation (multiple),0.18
Zoo attendance ,2012,Remote,Monthly Participation (once),0.67
Zoo attendance ,2013,Remote,Participated in the last 12 months,11.32
Zoo attendance ,2013,Remote,Weekly Participation (multiple),0.08
Zoo attendance ,2013,Remote,Weekly Participation (once),0.10
Zoo attendance ,2013,Remote,Monthly Participation (multiple),0.16
Zoo attendance ,2013,Remote,Monthly Participation (once),0.62
Zoo attendance ,2014,Remote,Participated in the last 12 months,11.50
Zoo attendance ,2014,Remote,Weekly Participation (multiple),0.06
Zoo attendance ,2014,Remote,Weekly Participation (once),0.07
Zoo attendance ,2014,Remote,Monthly Participation (multiple),0.27
Zoo attendance ,2014,Remote,Monthly Participation (once),0.53
Zoo attendance ,2015,Remote,Participated in the last 12 months,12.57
Zoo attendance ,2015,Remote,Weekly Participation (multiple),0.12
Zoo attendance ,2015,Remote,Weekly Participation (once),0.08
Zoo attendance ,2015,Remote,Monthly Participation (multiple),0.24
Zoo attendance ,2015,Remote,Monthly Participation (once),0.82
Zoo attendance ,2016,Remote,Participated in the last 12 months,12.40
Zoo attendance ,2016,Remote,Weekly Participation (multiple),0.02
Zoo attendance ,2016,Remote,Weekly Participation (once),0.07
Zoo attendance ,2016,Remote,Monthly Participation (multiple),0.34
Zoo attendance ,2016,Remote,Monthly Participation (once),0.78
Zoo attendance ,2017,Remote,Participated in the last 12 months,12.45
Zoo attendance ,2017,Remote,Weekly Participation (multiple),0.05
Zoo attendance ,2017,Remote,Weekly Participation (once),0.08
Zoo attendance ,2017,Remote,Monthly Participation (multiple),0.24
Zoo attendance ,2017,Remote,Monthly Participation (once),0.56
Zoo attendance ,2018,Remote,Participated in the last 12 months,11.37
Zoo attendance ,2018,Remote,Weekly Participation (multiple),0.09
Zoo attendance ,2018,Remote,Weekly Participation (once),0.04
Zoo attendance ,2018,Remote,Monthly Participation (multiple),0.22
Zoo attendance ,2018,Remote,Monthly Participation (once),0.74
